Approved_symbol	Locus	Chromosome
NDUFV2-AS1	18p11.22	18
NDUFV2P1	19q13.42	19
NDUFV3	21q22.3	21
NEAT1	11q13.1	11
NEB	2q23.3	2
NEBL	10p12.31	10
NEBL-AS1	10p12.31	10
NECAB1	8q21.3	8
NECAB2	16q23.3	16
NECAB3	20q11.22	20
NECAP1	12p13.31	12
NECAP1P1	7p14.1	7
NECAP1P2	2p13.1	2
NECAP2	1p36.13	1
NECTIN1	11q23.3	11
NECTIN1-AS1	11q23.3	11
NECTIN1-DT	11q23.3	11
NECTIN2	19q13.32	19
NECTIN2P1	3q13.13	3
NECTIN3	3q13.13	3
NECTIN3-AS1	3q13.13	3
NECTIN4	1q23.3	1
NECTIN4-AS1	1q23.3	1
NEDD1	12q23.1	12
NEDD4	15q21.3	15
NEDD4L	18q21.31	18
NEDD7	reserved	reserved
NEDD8	14q12	14
NEDD8-MDP1	14q12	14
NEDD8P1	1p31.1	1
NEDD9	6p24.2	6
NEDD10	reserved	reserved
NEFH	22q12.2	22
NEFHP1	1p13.1	1
NEFL	8p21.2	8
NEFLL1	2p12-q11	2
NEFLL2	7q34-q35	7
NEFLP1	Yq11.223	Y
NEFM	8p21.2	8
NEFMP1	10q21.1	10
NEGR1	1p31.1	1
NEGR1-AS1	1p31.1	1
NEGR1-IT1	1p31.1	1
NEIL1	15q24.2	15
NEIL2	8p23.1	8
NEIL3	4q34.3	4
NEK1	4q33	4
NEK2	1q32.3	1
NEK2-DT	1q32.3	1
NEK2P1	14q11.2	14
NEK2P2	22q11.1	22
NEK2P3	14q11.1	14
NEK2P4	2q21.1	2
NEK3	13q14.3	13
NEK4	3p21.1	3
NEK4P1	21q21.1	21
NEK4P2	17p11.2	17
NEK4P3	10q21.3	10
NEK5	13q14.3	13
NEK6	9q33.3	9
NEK7	1q31.3	1
NEK8	17q11.2	17
NEK9	14q24.3	14
NEK10	3p24.1	3
NEK11	3q22.1	3
NELFA	4p16.3	4
NELFB	9q34.3	9
NELFCD	20q13.32	20
NELFE	6p21.33	6
NELL1	11p15.1	11
NELL2	12q12	12
NEM1	1p13-qter	1
NEMF	14q21.3	14
NEMP1	12q13.3	12
NEMP2	2q32.2	2
NEMP2-DT	2q32.2	2
NENF	1q32.3	1
NENFP1	1p33	1
NENFP2	12q23.2	12
NENFP3	5p15.2	5
NEO1	15q24.1	15
NEPNP	6q22.1	6
NEPRO	3q13.2	3
NEPRO-AS1	3q13.2	3
NES	1q23.1	1
NET1	10p15.1	10
NETO1	18q22.3	18
NETO1-DT	18q22.3	18
NETO2	16q12.1	16
NEU1	6p21.33	6
NEU2	2q37.1	2
NEU3	11q13.4	11
NEU4	2q37.3	2
NEURL1	10q24.33	10
NEURL1-AS1	10q24.33	10
NEURL1B	5q35.1	5
NEURL2	20q13.12	20
NEURL3	2q11.2	2
NEURL4	17p13.1	17
NEUROD1	2q31.3	2
NEUROD2	17q12	17
NEUROD4	12q13.2	12
NEUROD6	7p14.3	7
NEUROG1	5q31.1	5
NEUROG2	4q25	4
NEUROG2-AS1	4q25	4
NEUROG3	10q22.1	10
NEXMIF	Xq13.3	X
NEXN	1p31.1	1
NEXN-AS1	1p31.1	1
NF1	17q11.2	17
NF1L3	2q33-q34	2
NF1P1	15q11.2	15
NF1P2	15q11.2	15
NF1P3	21q11.2	21
NF1P4	14q11.2	14
NF1P5	18p11.21	18
NF1P6	22q11.1	22
NF1P7	14q11.2	14
NF1P8	2q21.1	2
NF1P9	15q11.2	15
NF1P10	14q11.2	14
NF1P11	14q11.2	14
NF1P12	12q12	12
NF2	22q12.2	22
NFAM1	22q13.2	22
NFASC	1q32.1	1
NFAT5	16q22.1	16
NFATC1	18q23	18
NFATC2	20q13.2	20
NFATC2IP	16p11.2	16
NFATC2IP-AS1	16p11.2	16
NFATC3	16q22.1	16
NFATC4	14q12	14
NFE2	12q13.13	12
NFE2L1	17q21.32	17
NFE2L1-DT	17q21.32	17
NFE2L2	2q31.2	2
NFE2L3	7p15.2	7
NFE2L3P1	18q21.32	18
NFE2L3P2	17q21.32	17
NFE4	7q22.1	7
NFIA	1p31.3	1
NFIA-AS1	1p31.3	1
NFIA-AS2	1p31.3	1
NFIB	9p23-p22.3	9
NFIB-AS1	9p22.3	9
NFIC	19p13.3	19
NFIL3	9q22.31	9
NFILZ	19p13.2	19
NFIX	19p13.13	19
NFKB1	4q24	4
NFKB2	10q24.32	10
NFKBIA	14q13.2	14
NFKBIB	19q13.2	19
NFKBID	19q13.12	19
NFKBIE	6p21.1	6
NFKBIL1	6p21.33	6
NFKBIZ	3q12.3	3
NFRKB	11q24.3	11
NFS1	20q11.22	20
NFU1	2p13.3	2
NFU1P1	3p22.1	3
NFU1P2	1p21.3	1
NFX1	9p12	9
NFXL1	4p12	4
NFYA	6p21.1	6
NFYAP1	13q21.31	13
NFYB	12q23.3	12
NFYBP1	3q13.13	3
NFYC	1p34.2	1
NFYC-AS1	1p34.2	1
NFYCP1	Xp21.1	X
NFYCP2	9q21.33	9
NGB	14q24.3	14
NGDN	14q11.2	14
NGEF	2q37.1	2
NGF	1p13.2	1
NGF-AS1	1p13.2	1
NGFR	17q21.33	17
NGFR-AS1	17q21.33	17
NGLY1	3p24.2	3
NGRN	15q26.1	15
NGRNP1	3q26.1	3
NGRNP2	6q13	6
NGRNP3	7p22.3	7
NHCP1	16	16
NHEG1	6q23.3	6
NHEJ1	2q35	2
NHERF1	17q25.1	17
NHERF2	16p13.3	16
NHERF4	11q23.3	11
NHIP	22q13.32	22
NHLH1	1q23.2	1
NHLH2	1p13.1	1
NHLRC1	6p22.3	6
NHLRC2	10q25.3	10
NHLRC3	13q13.3	13
NHLRC4	16p13.3	16
NHP2	5q35.3	5
NHP2P1	10q23.32	10
NHP2P2	7p15.2	7
NHS	Xp22.2-p22.13	X
NHS-AS1	Xp22.13	X
NHSL1	6q24.1	6
NHSL1-AS1	6q24.1	6
NHSL2	Xq13.1	X
NIBAN1	1q25.3	1
NIBAN2	9q34.11	9
NIBAN3	19p13.11	19
NICN1	3p21.31	3
NICN1-AS1	3p21.31	3
NICN2P	Xp11.3	X
NID1	1q42.3	1
NID2	14q22.1	14
NIDDM1	2q	2
NIDDM2	12q24.2	12
NIF3L1	2q33.1	2
NIFK	2q14.3	2
NIFK-AS1	2q14.3	2
NIFKP1	10p11.23	10
NIFKP2	5q35.2	5
NIFKP3	12p13.31	12
NIFKP4	15q24.2	15
NIFKP5	15q26.1	15
NIFKP6	19q13.41	19
NIFKP7	3p22.3	3
NIFKP8	15q25.3	15
NIFKP9	2q14.3	2
NIHCOLE	5q21.2	5
NIM1K	5p12	5
NIN	14q22.1	14
NINJ1	9q22.31	9
NINJ2	12p13.33	12
NINJ2-AS1	12p13.33	12
NINL	20p11.21	20
NIP1L	reserved	reserved
NIP7	16q22.1	16
NIP7P1	10q23.33	10
NIP7P2	3q22.1	3
NIP7P3	6q22.1	6
NIPA1	15q11.2	15
NIPA2	15q11.2	15
NIPA2P1	7q21.13	7
NIPA2P2	3p12.3	3
NIPA2P3	21q21.1	21
NIPA2P4	8q21.13	8
NIPA2P5	13q31.1	13
NIPAL1	4p12	4
NIPAL2	8q22.2	8
NIPAL2-AS1	8q22.2	8
NIPAL3	1p36.11	1
NIPAL4	5q33.3	5
NIPAL4-DT	5q33.3	5
NIPBL	5p13.2	5
NIPBL-DT	5p13.2	5
NIPSNAP1	22q12.2	22
NIPSNAP2	7p11.2	7
NIPSNAP3A	9q31.1	9
NIPSNAP3B	9q31.1	9
NISCH	3p21.1	3
NIT1	1q23.3	1
NIT2	3q12.2	3
NKAIN1	1p35.2	1
NKAIN1P1	1q21.1	1
NKAIN1P2	2p11.2	2
NKAIN2	6q22.31	6
NKAIN3	8q12.3	8
NKAIN3-IT1	8q12.3	8
NKAIN4	20q13.33	20
NKAP	Xq24	X
NKAPD1	11q23.1	11
NKAPL	6p22.1	6
NKAPP1	Xq24	X
NKD1	16q12.1	16
NKD2	5p15.33	5
NKG7	19q13.41	19
NKILA	20q13.31	20
NKIRAS1	3p24.2	3
NKIRAS2	17q21.2	17
NKPD1	19q13.32	19
NKRF	Xq24	X
NKS1	6p21.3	6
NKTR	3p22.1	3
NKX1-1	4p16.3	4
NKX1-2	10q26.13	10
NKX2-1	14q13.3	14
NKX2-1-AS1	14q13.3	14
NKX2-2	20p11.22	20
NKX2-2-AS1	20p11.22	20
NKX2-3	10q24.2	10
NKX2-4	20p11.22	20
NKX2-5	5q34	5
NKX2-6	8p21.2	8
NKX2-8	14q13.3	14
NKX3-1	8p21.2	8
NKX3-2	4p15.33	4
NKX6-1	4q21.23	4
NKX6-2	10q26.3	10
NKX6-3	8p11.21	8
NLE1	17q12	17
NLGN1	3q26.31	3
NLGN1-AS1	3q26.31	3
NLGN2	17p13.1	17
NLGN3	Xq13.1	X
NLGN4X	Xp22.32-p22.31	X
NLGN4Y	Yq11.221	Y
NLGN4Y-AS1	Yq11.221	Y
NLK	17q11.2	17
NLN	5q12.3	5
NLRC3	16p13.3	16
NLRC4	2p22.3	2
NLRC5	16q13	16
NLRP1	17p13	17
NLRP2	19q13.42	19
NLRP2B	Xp11.21	X
NLRP3	1q44	1
NLRP3P1	Xq22.3	X
NLRP4	19q13.43	19
NLRP5	19q13.43	19
NLRP6	11p15.5	11
NLRP7	19q13.42	19
NLRP7P1	Xq26.2	X
NLRP8	19q13.43	19
NLRP9	19q13.42	19
NLRP9P1	12q24.33	12
NLRP10	11p15.4	11
NLRP11	19q13.43	19
NLRP12	19q13.42	19
NLRP13	19q13.43	19
NLRP14	11p15.4	11
NLRX1	11q23.3	11
NLVCF	reserved	reserved
NM	7q22-qter	7
NMB	15q25.2	15
NMBR	6q24.1	6
NMBR-AS1	6q24.1	6
NMD3	3q26.1	3
NMD3P1	7q11.21	7
NMD3P2	7p11.2	7
NME1	17q21.33	17
NME1-NME2	17q21.33	17
NME1P1	13q12.11	13
NME2	17q21.33	17
NME2P1	12q24.23	12
NME2P2	2p16.3	2
NME2P3	9q22.33	9
NME3	16p13.3	16
NME4	16p13.3	16
NME5	5q31.2	5
NME6	3p21.31	3
NME7	1q24.2	1
NME8	7p14.1	7
NME9	3q22.3	3
NMI	2q23.3	2
NMNAT1	1p36.22	1
NMNAT1P1	14q31.1	14
NMNAT1P2	1q23.3	1
NMNAT1P3	3q28	3
NMNAT1P4	4q31.21	4
NMNAT1P5	15q22.2	15
NMNAT2	1q25.3	1
NMNAT3	3q23	3
NMRAL1	16p13.3	16
NMRAL2P	3q27.2	3
NMRK1	9q21.13	9
NMRK2	19p13.3	19
NMS	2q11.2	2
NMT1	17q21.31	17
NMT2	10p13	10
NMTRL-TAA1-1	4q32.1	4
NMTRL-TAA2-1	2q14.1	2
NMTRL-TAA3-1	1q43	1
NMTRL-TAA4-1	Xp11.21	X
NMTRL-TAA5-1	20q13.31	20
NMTRL-TAA6-1	8q11.1	8
NMTRP-TGG1-1	1q43	1
NMTRQ-CTG1-1	10p12.31	10
NMTRQ-TTG1-1	Xp11.21	X
NMTRQ-TTG2-1	7q34	7
NMTRQ-TTG3-1	2q14.1	2
NMTRQ-TTG4-1	3q13.12	3
NMTRQ-TTG5-1	16p13.3	16
NMTRQ-TTG6-1	12q13.12	12
NMTRQ-TTG7-1	2q21.1	2
NMTRQ-TTG8-1	Yp11.2	Y
NMTRQ-TTG9-1	2q21.1	2
NMTRQ-TTG10-1	13q13.3	13
NMTRQ-TTG11-1	8p12	8
NMTRQ-TTG12-1	17p11.2	17
NMTRQ-TTG13-1	7p11.2	7
NMTRQ-TTG14-1	9p24.1	9
NMTRQ-TTG15-1	4q32.1	4
NMTRS-TGA1-1	2q21.1	2
NMTRS-TGA2-1	2q21.1	2
NMTRS-TGA3-1	17p11.2	17
NMTRV-TAC1-1	6q25.3	6
NMU	4q12	4
NMUR1	2q37.1	2
NMUR2	5q33.1	5
NNAT	20q11.23	20
NNMT	11q23.2	11
NNO1	11p13	11
NNT	5p12	5
NNT-AS1	5p12	5
NOA1	4q12	4
NOB1	16q22.1	16
NOBOX	7q35	7
NOC2L	1p36.33	1
NOC2LP1	2q21.1	2
NOC2LP2	2q21.1	2
NOC3L	10q23.33	10
NOC4L	12q24.33	12
NOCT	4q31.1	4
NOD1	7p14.3	7
NOD2	16q12.1	16
NODAL	10q22.1	10
NOG	17q22	17
NOL2	reserved	reserved
NOL3	16q22.1	16
NOL4	18q12.1	18
NOL4L	20q11.21	20
NOL4L-DT	20q11.21	20
NOL6	9p13.3	9
NOL7	6p23	6
NOL8	9q22.31	9
NOL8P1	4q32.3	4
NOL9	1p36.31	1
NOL10	2p25.1	2
NOL11	17q24.2	17
NOL12	22q13.1	22
NOLC1	10q24.32	10
NOLC1P1	Xp22.31	X
NOM1	7q36.3	7
NOMO1	16p13.11	16
NOMO2	16p12.3	16
NOMO3	16p13.11	16
NONO	Xq13.1	X
NONOP1	16q22.1	16
NONOP2	2p16.1	2
NOP2	12p13.31	12
NOP9	14q12	14
NOP10	15q14	15
NOP14	4p16.3	4
NOP14-AS1	4p16.3	4
NOP16	5q35.2	5
NOP53	19q13.33	19
NOP53-AS1	19q13.33	19
NOP56	20p13	20
NOP56P1	6p22.1	6
NOP56P2	9p21.3	9
NOP56P3	12q21.2	12
NOP58	2q33.1	2
NOPCHAP1	12q23.3	12
NORAD	20q11.23	20
NOS1	12q24.22	12
NOS1AP	1q23.3	1
NOS2	17q11.2	17
NOS2P1	17q11.2	17
NOS2P2	17p11.2	17
NOS2P3	17p11.2	17
NOS2P4	17p11.2	17
NOS3	7q36.1	7
NOSIP	19q13.33	19
NOSTRIN	2q24.3	2
NOTCH1	9q34.3	9
NOTCH2	1p12	1
NOTCH2NLA	1q21.1	1
NOTCH2NLB	1q21.2	1
NOTCH2NLC	1q21.2	1
NOTCH2NLR	1p11.2	1
NOTCH2P1	1p12	1
NOTCH3	19p13.12	19
NOTCH4	6p21.32	6
NOTO	2p13.2	2
NOTUM	17q25.3	17
NOVA1	14q12	14
NOVA1-DT	14q12	14
NOVA2	19q13.32	19
NOX1	Xq22.1	X
NOX3	6q25.3	6
NOX4	11q14.3	11
NOX4P1	11p11.12	11
NOX5	15q23	15
NOXA1	9q34.3	9
NOXO1	16p13.3	16
NOXRED1	14q24.3	14
NPAP1	15q11.2	15
NPAP1L	16q21	16
NPAP1P1	10q11.23	10
NPAP1P2	10q22.3	10
NPAP1P3	10q23.2	10
NPAP1P4	9q21.31	9
NPAP1P5	9q22.1	9
NPAP1P6	9q21.31	9
NPAP1P7	9q22.1	9
NPAP1P8	9q21.32	9
NPAP1P9	9q22.1	9
NPAS1	19q13.32	19
NPAS2	2q11.2	2
NPAS2-AS1	2q11.2	2
NPAS3	14q13.1	14
NPAS4	11q13.2	11
NPAT	11q22.3	11
NPB	17q25.3	17
NPBWR1	8q11.23	8
NPBWR2	20q13.33	20
NPC1	18q11.2	18
NPC1L1	7p13	7
NPC2	14q24.3	14
NPCDR1	3p14.2 not on reference assembly	3
NPDC1	9q34.3	9
NPEPL1	20q13.32	20
NPEPPS	17q21.32	17
NPEPPSP1	17q12	17
NPEPPSP2	3p24.3	3
NPFF	12q13.13	12
NPFFR1	10q22.1	10
NPFFR2	4q13.3	4
NPHL1	Xp11.4-p11.3	X
NPHP1	2q13	2
NPHP2	9q22-q31	9
NPHP3	3q22.1	3
NPHP3-ACAD11	3q22.1	3
NPHP3-AS1	3q22.1	3
NPHP4	1p36.31	1
NPHS1	19q13.12	19
NPHS2	1q25.2	1
NPIPA1	16p13.11	16
NPIPA2	16p13.11	16
NPIPA3	16p13.11	16
NPIPA5	16p13.11	16
NPIPA7	16p13.11	16
NPIPA8	16p12.3	16
NPIPA9	16p12.3	16
NPIPB1P	18p11.21	18
NPIPB2	16p13.13	16
NPIPB3	16p12.2	16
NPIPB4	16p12.2	16
NPIPB5	16p12.2	16
NPIPB6	16p12.1	16
NPIPB7	16p12.1	16
NPIPB8	16p11.2	16
NPIPB9	16p11.2	16
NPIPB10P	16p11.2	16
NPIPB11	16p11.2	16
NPIPB12	16p11.2	16
NPIPB13	16p11.2	16
NPIPB14P	16q22.1	16
NPIPB15	16q23.1	16
NPIPP1	16p13.11	16
NPL	1q25.3	1
NPLOC4	17q25.3	17
NPLP1	2p22.1	2
NPM1	5q35.1	5
NPM1P1	18q12.3	18
NPM1P2	18q11.2	18
NPM1P3	16p13.3	16
NPM1P4	13q12.2	13
NPM1P5	15q26.1	15
NPM1P6	8q12.2	8
NPM1P7	12p13.31	12
NPM1P8	Xp21.1	X
NPM1P9	Xp22.2	X
NPM1P10	6q16.3	6
NPM1P11	7p21.3	7
NPM1P12	7q36.1	7
NPM1P13	7p21.1	7
NPM1P14	7q31.1	7
NPM1P15	reserved	reserved
NPM1P16	12p13.31	12
NPM1P17	3q22.3	3
NPM1P18	7p14.2	7
NPM1P19	20q11.23	20
NPM1P20	14q32.31	14
NPM1P21	8q12.1	8
NPM1P22	13q21.32	13
NPM1P23	3p24.2	3
NPM1P24	10q22.1	10
NPM1P25	10q24.1	10
NPM1P26	10q24.1	10
NPM1P27	5q15	5
NPM1P28	3q24	3
NPM1P29	3q25.1	3
NPM1P30	10p12.31	10
NPM1P31	10q26.13	10
NPM1P32	2q14.3	2
NPM1P33	2q33.2	2
NPM1P34	Xq25	X
NPM1P35	11q12.3	11
NPM1P36	6p12.1	6
NPM1P37	6q13	6
NPM1P38	6q16.3	6
NPM1P39	1p36.11	1
NPM1P40	1q32.1	1
NPM1P41	4q21.22	4
NPM1P42	15q24.1	15
NPM1P43	15q24.1	15
NPM1P44	8q13.2	8
NPM1P45	17p13.1	17
NPM1P46	2q33.1	2
NPM1P47	15q22.2	15
NPM1P48	2p25.2	2
NPM1P49	Xp11.3	X
NPM1P50	11q13.4	11
NPM1P51	6p21.1	6
NPM1P52	8q22.3	8
NPM2	8p21.3	8
NPM3	10q24.32	10
NPNT	4q24	4
NPPA	1p36.22	1
NPPA-AS1	1p36.21	1
NPPB	1p36.22	1
NPPC	2q37.1	2
NPR1	1q21.3	1
NPR2	9p13.3	9
NPR3	5p13.3	5
NPRL2	3p21.31	3
NPRL3	16p13.3	16
NPS	10q26.2	10
NPSR1	7p14.3	7
NPSR1-AS1	7p14.3	7
NPTN	15q24.1	15
NPTN-IT1	15q24.1	15
NPTX1	17q25.3	17
NPTX2	7q22.1	7
NPTXR	22q13.1	22
NPVF	7p15.3	7
NPW	16p13.3	16
NPY	7p15.3	7
NPY1R	4q32.2	4
NPY2R	4q32.1	4
NPY2R-AS1	4q32.1	4
NPY4R	10q11.22	10
NPY4R2	10q11.22	10
NPY5R	4q32.2	4
NPY6R	5q31.2	5
NQO1	16q22.1	16
NQO1-DT	16q22.1	16
NQO2	6p25.2	6
NQO2-AS1	6p25.2	6
NR1D1	17q21.1	17
NR1D2	3p24.2	3
NR1H2	19q13.3	19
NR1H3	11p11.2	11
NR1H4	12q23.1	12
NR1H5P	1p13.2	1
NR1I2	3q13.33	3
NR1I3	1q23.3	1
NR1I4	reserved	reserved
NR2C1	12q22	12
NR2C2	3p25.1	3
NR2C2AP	19p13.11	19
NR2E1	6q21	6
NR2E3	15q23	15
NR2F1	5q15	5
NR2F1-AS1	5q15	5
NR2F2	15q26.2	15
NR2F2-AS1	15q26.2	15
NR2F6	19p13.11	19
NR3C1	5q31.3	5
NR3C1P1	16q24.2	16
NR3C2	4q31	4
NR4A1	12q13.13	12
NR4A1AS	12q13.13	12
NR4A2	2q22-q23	2
NR4A3	9q22	9
NR5A1	9q33.3	9
NR5A2	1q32.1	1
NR6A1	9q33.3	9
NRAD1	13q14.11	13
NRADDP	3p21.31	3
NRAL	2q31.1	2
NRAP	10q25.3	10
NRARP	9q34.3	9
NRAS	1p13.2	1
NRAV	12q24.31	12
NR0B1	Xp21.2	X
NR0B2	1p36.11	1
NRBF2	10q21.3	10
NRBF2P1	18q12.2	18
NRBF2P2	3p21.31	3
NRBF2P3	1p13.3	1
NRBF2P4	8q23.1	8
NRBF2P5	10p15.1	10
NRBF2P6	2q37.1	2
NRBP1	2p23.3	2
NRBP2	8q24.3	8
NRCAM	7q31.1	7
NRDC	1p32.3	1
NRDE2	14q32.11	14
NREP	5q22.1	5
NREP-AS1	5q22.1	5
NRF1	7q32.2	7
NRG1	8p12	8
NRG1-IT1	8p12	8
NRG1-IT2	8p12	8
NRG1-IT3	8p12	8
NRG2	5q31.2	5
NRG3	10q23.1	10
NRG3-AS1	10q23.1	10
NRG4	15q24.2	15
NRGN	11q24.2	11
NRIP1	21q11.2-q21.1	21
NRIP2	12p13.33	12
NRIP3	11p15.4	11
NRIP3-DT	11p15.4	11
NRIR	2p25.2	2
NRK	Xq22.3	X
NRL	14q11.2-q12	14
NRM	6p21.33	6
NRN1	6p25.1	6
NRN1L	16q22.1	16
NRON	9q33.3	9
NRP1	10p11.22	10
NRP2	2q33.3	2
NRROS	3q29	3
NRSN1	6p22.3	6
NRSN2	20p13	20
NRSN2-AS1	20p13	20
NRTN	19p13.3	19
NRXN1	2p16.3	2
NRXN2	11q13.1	11
NRXN2-AS1	11q13.1	11
NRXN3	14q24.3-q31.1	14
NS1	12	12
NSA2	5q13.3	5
NSA2P1	1q32.1	1
NSA2P2	12q22	12
NSA2P3	Xq22.1	X
NSA2P4	15q22.2	15
NSA2P5	2q31.1	2
NSA2P6	4q31.3	4
NSA2P7	9q22.32	9
NSD1	5q35.3	5
NSD2	4p16.3	4
NSD3	8p11.23	8
NSDHL	Xq28	X
NSF	17q21.31	17
NSFL1C	20p13	20
NSFP1	17q21.31	17
NSG1	4p16.3	4
NSG2	5q35.2	5
NSL1	1q32.3	1
NSMAF	8q12.1	8
NSMCE1	16p12.1	16
NSMCE1-DT	16p12.1	16
NSMCE2	8q24.13	8
NSMCE3	15q13.1	15
NSMCE4A	10q26.13	10
NSMF	9q34.3	9
NSRP1	17q11.2	17
NSRP1P1	1p31.1	1
NSUN2	5p15.31	5
NSUN3	3q11.2	3
NSUN4	1p33	1
NSUN5	7q11.23	7
NSUN5P1	7q11.23	7
NSUN5P2	7q11.23	7
NSUN6	10p12.31	10
NSUN7	4p14	4
NSX	X	X
NT3	reserved	reserved
NT5C	17q25	17
NT5C1A	1p34.2	1
NT5C1B	2p24.2	2
NT5C1B-RDH14	2p24.2	2
NT5C2	10q24.32-q24.33	10
NT5C3A	7p14.3	7
NT5C3AP1	4q26	4
NT5C3AP2	3q13.2	3
NT5C3B	17q21.2	17
NT5CP1	14q24.3	14
NT5CP2	14q24.3	14
NT5CP3	13q21.33	13
NT5DC1	6q22.1	6
NT5DC1P1	Xq21.32	X
NT5DC1P2	Xq26.2	X
NT5DC2	3p21.1	3
NT5DC3	12q23.3	12
NT5DC4	2q14.1	2
NT5E	6q14.3	6
NT5ELP	5q12.3	5
NT5M	17p11.2	17
NTAN1	16p13.11	16
NTAN1P1	10q25.3	10
NTAN1P2	8q21.3	8
NTAN1P3	12q15	12
NTAQ1	8q24.13	8
NTF3	12p13.31	12
NTF4	19q13.33	19
NTF6A	19q13.33	19
NTF6B	19q13.33	19
NTF6G	19q13.33	19
NTHL1	16p13.3	16
NTM	11q25	11
NTM-AS1	11q25	11
NTM-IT	11q25	11
NTM-IT1	11q25	11
NTM-IT2	11q25	11
NTMT1	9q34.11	9
NTMT2	1q24.2	1
NTN1	17p13.1	17
NTN3	16p13.3	16
NTN4	12q22	12
NTN5	19q13.33	19
NTNG1	1p13.3	1
NTNG2	9q34.13	9
NTPCR	1q42.2	1
NTRAS	1q32.3	1
NTRK1	1q23.1	1
NTRK2	9q21.33	9
NTRK3	15q25.3	15
NTRK3-AS1	15q25.3	15
NTS	12q21.31	12
NTSR1	20q13.33	20
NTSR2	2p25.1	2
NUAK1	12q23.3	12
NUAK2	1q32.1	1
NUB1	7q36.1	7
NUBP1	16p13.13	16
NUBP2	16p13.3	16
NUBPL	14q12	14
NUBPL-DT	14q12	14
NUCB1	19q13.33	19
NUCB1-AS1	19q13.33	19
NUCB2	11p15.1	11
NUCKS1	1q32.1	1
NUCKS1P1	1q42.13	1
NUDC	1p36.11	1
NUDCD1	8q23.1	8
NUDCD2	5q34	5
NUDCD3	7p13	7
NUDCP1	2q23.3	2
NUDCP2	2q31	2
NUDT1	7p22.3	7
NUDT2	9p13.3	9
NUDT3	6p21.31	6
NUDT4	12q22	12
NUDT4B	1q21.2	1
NUDT4P2	1q21.1	1
NUDT5	10p14	10
NUDT6	4q28.1	4
NUDT7	16q23.1	16
NUDT8	11q13.2	11
NUDT9	4q22.1	4
NUDT9P1	10q23.32	10
NUDT10	Xp11.22	X
NUDT11	Xp11.22	X
NUDT12	5q21.2	5
NUDT13	10q22.2	10
NUDT14	14q32.33	14
NUDT15	13q14.2	13
NUDT15P1	8q12.1	8
NUDT15P2	17q11.2	17
NUDT16	3q22.1	3
NUDT16-DT	3q21.3	3
NUDT16L1	16p13.3	16
NUDT16L2P	3q22.1	3
NUDT17	1q21.1	1
NUDT18	8p21.3	8
NUDT19	19q13.11	19
NUDT19-DT	19q13.11	19
NUDT19P1	Xq24	X
NUDT19P2	Xq22.1	X
NUDT19P3	6q21	6
NUDT19P4	6p21.1	6
NUDT19P5	4q32.1	4
NUDT19P6	Xq24	X
NUDT21	16q13	16
NUDT21P1	13q31.2	13
NUDT22	11q13.1	11
NUF2	1q23.3	1
NUFIP1	13q14.12	13
NUFIP1P1	6q12	6
NUFIP2	17q11.2	17
NUGGC	8p21.1	8
NUMA1	11q13.4	11
NUMB	14q24.3	14
NUMBL	19q13.2	19
NUP35	2q32.1	2
NUP35P1	10p12.2	10
NUP35P2	7q21.11	7
NUP37	12q23.2	12
NUP42	7p15.3	7
NUP43	6q25.1	6
NUP50	22q13.31	22
NUP50-DT	22q13.31	22
NUP50P1	14q23.3	14
NUP50P2	6p22	6
NUP50P3	5p14	5
NUP50P4	6q13	6
NUP54	4q21.1	4
NUP58	13q12.13	13
NUP58P1	4q28.1	4
NUP62	19q13.33	19
NUP62CL	Xq22.3	X
NUP85	17q25.1	17
NUP88	17p13.2	17
NUP93	16q13	16
NUP93-DT	16q13	16
NUP98	11p15.4	11
NUP107	12q15	12
NUP107-DT	12q15	12
NUP133	1q42.13	1
NUP133-DT	1q42.13	1
NUP153	6p22.3	6
NUP153-AS1	6p22.3	6
NUP155	5p13.2	5
NUP160	11p11.2	11
NUP188	9q34.11	9
NUP205	7q33	7
NUP210	3p25.1	3
NUP210L	1q21.3	1
NUP210P1	3q21.3	3
NUP210P2	3p25.2	3
NUP210P3	3q21.3	3
NUP214	9q34.13	9
NUPR1	16p11.2	16
NUPR2	7p11.2	7
NUPR2P1	7q11.21	7
NUS1	6q22.1	6
NUS1P1	Xp11.3	X
NUS1P2	13q12.12	13
NUS1P3	13q12.12	13
NUS1P4	13q32.2	13
NUSAP1	15q14	15
NUTF2	16q22.1	16
NUTF2P2	14q13.2	14
NUTF2P3	9q21.2	9
NUTF2P4	1p13.2	1
NUTF2P5	10p13	10
NUTF2P6	15q14	15
NUTF2P7	Xq13.1	X
NUTF2P8	2p24.1	2
NUTM1	15q14	15
NUTM2A	10q23.2	10
NUTM2A-AS1	10q23.2	10
NUTM2B	10q22.3	10
NUTM2B-AS1	10q22.3	10
NUTM2D	10q23.2	10
NUTM2E	10q22.3	10
NUTM2F	9q22.32	9
NUTM2G	9q22.33	9
NUTM2HP	10q11.23	10
NVL	1q42.11	1
NWD1	19p13.11	19
NWD2	4p14	4
NXF1	11q12.3	11
NXF2	Xq22.1	X
NXF2B	Xq22.1	X
NXF3	Xq22.1	X
NXF4	Xq22.1	X
NXF5	Xq22.1	X
NXN	17p13.3	17
NXNL1	19p13.11	19
NXNL2	9q22.1	9
NXNP1	1q41	1
NXPE1	11q23.2	11
